Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-2122.245	-2311.157	188.9121	1.567647	0.6243024	1.134057
6	-2122.052	-2310.719	188.6666	1.567647	0.8320261	1.1177
12	-2116.329	-2305.244	188.9152	1.623219	0.6754147	1.013359
18	-2114.513	-2303.543	189.0305	1.565073	0.5599664	1.114854
24	-2111.87	-2300.969	189.0984	1.516559	0.4862451	1.201791
30	-2108.799	-2297.831	189.0322	1.516559	0.6042866	1.097426
36	-2111.503	-2300.165	188.6624	1.549497	0.6931785	1.28274
42	-2108.64	-2297.389	188.749	1.581896	0.7196314	1.152732
48	-2105.268	-2294.107	188.8394	1.509704	0.7196314	1.136505
54	-2100.714	-2289.468	188.7544	1.594731	0.7196314	1.136505
60	-2120.332	-2309.209	188.8767	1.976839	0.5807733	0.8111793
66	-2121.154	-2310.062	188.9086	1.895653	0.6364961	0.7691206
72	-2107.773	-2296.636	188.8624	1.641162	0.7116187	1.000874
78	-2124.843	-2313.892	189.0487	1.652606	0.7116187	0.7724728
84	-2125.754	-2314.6	188.8465	1.587046	0.75847	1.011962
90	-2126.969	-2315.782	188.8131	1.63085	0.729414	1.037145
96	-2120.811	-2309.373	188.5624	1.545906	0.907608	1.155246
102	-2109.895	-2298.701	188.8063	1.491795	0.6446228	1.265555
108	-2114.761	-2303.387	188.6264	1.621797	0.8397163	1.096934
114	-2114.496	-2303.654	189.1579	1.735964	0.4948712	0.9232893
120	-2124.845	-2313.812	188.9676	1.762819	0.7054988	0.7413237
126	-2125.608	-2314.605	188.9973	1.853849	0.5450598	0.880633
132	-2137.021	-2326.115	189.0939	2.01859	0.5006599	0.5521719
138	-2133.122	-2321.822	188.6995	2.00586	0.7652995	0.6522614
144	-2128.619	-2317.376	188.7573	1.920003	0.7849526	0.661404
150	-2124.793	-2313.506	188.7132	2.045982	0.7525321	0.4838648
156	-2119.608	-2308.291	188.6822	1.984728	0.8178367	0.5904868
162	-2119.944	-2308.425	188.4811	2.127398	0.8823465	0.4895208
168	-2113.142	-2301.857	188.7154	2.134323	0.6807089	0.5317441
174	-2111.994	-2301.022	189.0279	2.077907	0.507777	0.5040098
180	-2104.426	-2293.293	188.8674	2.248881	0.4884864	0.4033318
186	-2109.897	-2298.332	188.4349	2.348159	0.711425	0.3900231
192	-2105.154	-2293.712	188.558	2.375986	0.5842834	0.3546248
198	-2101.303	-2289.895	188.5921	2.203889	0.7068978	0.4035319
204	-2113.691	-2302.194	188.5027	2.276969	0.7068978	0.3750164
210	-2108.046	-2296.337	188.291	2.276969	0.8627599	0.3434739
216	-2121.287	-2309.593	188.306	2.368116	0.8060267	0.4038259
222	-2126.872	-2315.204	188.3319	2.260083	0.8782832	0.4038259
228	-2119.983	-2308.341	188.3573	2.247291	0.8782832	0.4372085
234	-2118.557	-2307.08	188.5228	2.187283	0.7859016	0.4354722
240	-2121.007	-2309.469	188.4616	2.246109	0.7859016	0.4280171
246	-2115.639	-2304.029	188.3909	2.127302	0.9675463	0.4902064
252	-2125.648	-2314.291	188.6433	2.127302	0.7437233	0.5062267
258	-2122.042	-2310.726	188.6848	2.12348	0.7139339	0.5062267
264	-2104.108	-2292.794	188.6857	1.983721	0.8052484	0.62507
270	-2119.472	-2308.063	188.5905	1.948079	0.9413268	0.5613057
276	-2112.245	-2301.012	188.767	1.980499	0.7568316	0.5613057
282	-2110.38	-2298.969	188.5897	1.989746	0.89296	0.6000794
288	-2126.68	-2315.379	188.6994	2.034254	0.7711496	0.5417454
294	-2130.504	-2319.181	188.6762	2.0917	0.7432662	0.5417454
300	-2123.711	-2312.311	188.5995	2.0917	0.79349	0.6039109
306	-2126.227	-2314.753	188.5259	2.0917	0.8706354	0.5466971
312	-2115.883	-2304.443	188.56	2.033005	0.8706354	0.6294357
318	-2112.422	-2300.972	188.5501	2.015882	0.8953042	0.6294357
324	-2108.582	-2297.481	188.8996	1.962912	0.6634686	0.5824169
330	-2120.701	-2309.26	188.5591	1.912534	0.976666	0.6496186
336	-2124.691	-2313.4	188.709	2.051107	0.7514694	0.5224116
342	-2130.387	-2318.868	188.4811	2.192195	0.816065	0.4313773
348	-2128.586	-2317.087	188.501	2.14959	0.8352779	0.4296064
354	-2125.027	-2313.775	188.7476	2.140324	0.6466839	0.4332858
360	-2122.999	-2311.299	188.2999	2.234334	0.9356179	0.412599
366	-2121.677	-2310.078	188.4007	2.273235	0.7948368	0.3796532
372	-2113.372	-2302.069	188.6972	2.26615	0.5860837	0.4049137
378	-2112.848	-2301.156	188.3082	2.26615	0.8691284	0.3593837
384	-2121.075	-2309.738	188.6638	2.119889	0.725664	0.4334693
390	-2114.289	-2302.802	188.5127	2.250322	0.725664	0.3867067
396	-2113.852	-2302.233	188.3804	2.348193	0.723353	0.3378823
402	-2112.33	-2300.56	188.2309	2.40183	0.8198776	0.3625956
408	-2112.772	-2301.202	188.43	2.337564	0.7015532	0.349959
414	-2118.726	-2306.925	188.1991	2.295737	0.9582206	0.3820012
420	-2110.13	-2298.381	188.2512	2.303817	0.9128595	0.4050114
426	-2110.395	-2298.712	188.3166	2.363488	0.7687665	0.3463815
432	-2125.743	-2314.021	188.2782	2.325883	0.8219616	0.3327443
438	-2136.49	-2325.192	188.7018	2.300252	0.5314112	0.33995
444	-2121.731	-2309.684	187.9535	2.544777	0.856731	0.2805855
450	-2116.607	-2304.73	188.123	2.441139	0.8423094	0.3172926
456	-2125.501	-2313.916	188.4154	2.463159	0.6060917	0.3291376
462	-2126.109	-2314.39	188.2811	2.4678	0.6416432	0.2702293
468	-2126.894	-2315.266	188.372	2.371737	0.6770742	0.2985246
474	-2119.917	-2307.891	187.9735	2.48426	0.8897827	0.2781018
480	-2128.364	-2316.571	188.2067	2.461722	0.7325974	0.2960602
486	-2132.196	-2320.261	188.065	2.496461	0.7610557	0.2527
492	-2123.123	-2311.433	188.31	2.42411	0.6917055	0.3059509
498	-2118.562	-2306.906	188.3446	2.403081	0.6917055	0.3172035
504	-2121.195	-2309.352	188.1573	2.548058	0.657995	0.258449
510	-2116.6	-2305.184	188.5839	2.303978	0.6303194	0.3830713
516	-2115.109	-2303.652	188.543	2.303292	0.6303194	0.3312806
